,NB,DT,SVM,Network,SNB+FULL,SNB+BIC,SVM+Audio,LR_SVM,DT_Audio,LR_DT,Network_Audio,LR_network,NB_Audio,LR_NB,,,,,,,,,,,
47,0.792763158,0.782894737,0.746710526,0.907894737,0.865131579,0.868421053,0.799342105,0.875,0.792763158,0.792763158,0.690789474,0.858552632,0.776315789,0.871710526,,,,,,,,,,,
48,0.776315789,0.782894737,0.773026316,0.904605263,0.888157895,0.888157895,0.763157895,0.894736842,0.835526316,0.835526316,0.720394737,0.871710526,0.733552632,0.888157895,,,,,,,,,,,
49,0.769736842,0.802631579,0.779605263,0.927631579,0.871710526,0.884868421,0.796052632,0.904605263,0.861842105,0.861842105,0.638157895,0.894736842,0.769736842,0.884868421,,,,,,,,,,,
50,0.763157895,0.792763158,0.782894737,0.805921053,0.845394737,0.838815789,0.805921053,0.848684211,0.802631579,0.802631579,0.680921053,0.838815789,0.815789474,0.838815789,,,,,,,,,,,
51,0.733552632,0.733552632,0.782894737,0.865131579,0.855263158,0.858552632,0.809210526,0.858552632,0.832236842,0.832236842,0.674342105,0.861842105,0.75,0.865131579,,,,,,,,,,,
52,0.789473684,0.763157895,0.779605263,0.835526316,0.861842105,0.868421053,0.75,0.878289474,0.809210526,0.809210526,0.773026316,0.865131579,0.740131579,0.868421053,,,,,,,,,,,
53,0.796052632,0.782894737,0.756578947,0.855263158,0.875,0.891447368,0.828947368,0.891447368,0.822368421,0.822368421,0.703947368,0.891447368,0.782894737,0.888157895,,,,,,,,,,,
54,0.802631579,0.782894737,0.819078947,0.858552632,0.878289474,0.884868421,0.759868421,0.914473684,0.786184211,0.786184211,0.276315789,0.884868421,0.726973684,0.884868421,,,,,,,,,,,
55,0.779605263,0.766447368,0.789473684,0.776315789,0.871710526,0.884868421,0.802631579,0.871710526,0.845394737,0.845394737,0.657894737,0.881578947,0.753289474,0.888157895,,,,,,,,,,,
56,0.776315789,0.809210526,0.796052632,0.953947368,0.917763158,0.927631579,0.819078947,0.927631579,0.809210526,0.809210526,0.700657895,0.917763158,0.759868421,0.927631579,,,,,,,,,,,
57,0.763157895,0.851973684,0.776315789,0.898026316,0.904605263,0.907894737,0.809210526,0.914473684,0.838815789,0.848684211,0.763157895,0.907894737,0.756578947,0.907894737,,,,,,,,,,,
58,0.786184211,0.789473684,0.802631579,0.917763158,0.865131579,0.871710526,0.822368421,0.881578947,0.842105263,0.842105263,0.315789474,0.871710526,0.822368421,0.871710526,,,,,,,,,,,
59,0.736842105,0.773026316,0.769736842,0.799342105,0.858552632,0.868421053,0.805921053,0.884868421,0.809210526,0.809210526,0.733552632,0.861842105,0.776315789,0.871710526,,,,,,,,,,,
60,0.776315789,0.779605263,0.730263158,0.851973684,0.838815789,0.858552632,0.796052632,0.868421053,0.769736842,0.769736842,0.585526316,0.868421053,0.743421053,0.858552632,,,,,,,,,,,
61,0.710526316,0.746710526,0.736842105,0.845394737,0.838815789,0.845394737,0.773026316,0.851973684,0.799342105,0.799342105,0.167763158,0.845394737,0.769736842,0.848684211,,,,,,,,,,,
62,0.763157895,0.769736842,0.782894737,0.907894737,0.851973684,0.871710526,0.786184211,0.868421053,0.842105263,0.842105263,0.753289474,0.878289474,0.776315789,0.875,,,,,,,,,,,
