name,genre,lowenergy,zerocrossing_mean,centroid_mean,flux_mean,rolloff_mean,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,zerocrossing_var,centroid_var,flux_var,rolloff_var,MFCC_1_var,MFCC_2_var,MFCC_3_var,MFCC_4_var,MFCC_5_var
gotrhytm,jazz,0.58336387,0.044507492,0.105953476,0.005326769,0.066486265,-26.28509008,2.769359502,0.688722604,0.29679706,-0.46320472,0.000468395,0.001104108,0.000171561,0.003019238,20.25776315,0.56795957,0.179072785,0.199984984,0.175084245
GrooveYard,jazz,0.581553657,0.057003826,0.173357019,0.003725924,0.068035305,-25.81249913,2.718977464,0.596468561,0.480593914,-0.295218943,0.001782554,0.004138082,1.19E-05,0.008825471,6.097303336,0.474321233,0.213526808,0.221294103,0.130534134
grooving_hard,jazz,0.627591538,0.121435934,0.219708711,0.002201313,0.194585736,-25.09896386,1.652327566,-0.06635077,0.246654968,-0.145818127,0.003088851,0.004283444,1.37E-05,0.017611928,14.5725235,0.870309113,0.210492247,0.131024638,0.1122604
gsteps,jazz,0.7087943,0.080834412,0.181652439,0.002825509,0.092569193,-24.06951244,2.988407473,0.25722609,0.002181091,-0.201046641,0.004548448,0.005244169,0.00010013,0.014317396,10.19001074,0.996812671,0.38237416,0.161565633,0.112945577
guardian1,jazz,0.555368421,0.071837564,0.15094862,0.003712247,0.100440348,-23.9132868,2.524565113,0.389257806,0.269780997,-0.104427062,0.001240995,0.001364389,8.25E-05,0.004874939,4.430676572,0.222929528,0.198904177,0.103976635,0.059763743
halfzware_shag,jazz,0.565647582,0.096795828,0.211525589,0.003806428,0.153546082,-24.94196566,2.354955853,-0.246433664,0.368135545,-0.005604439,0.003652998,0.007540167,0.000114937,0.025970157,11.40401757,0.434386644,0.367626284,0.126834252,0.157279276
HaNiceDayG,jazz,0.699861164,0.108981852,0.19726234,0.002519921,0.180579731,-26.86280767,1.500171404,-0.119375776,0.31327451,0.015961689,0.002609837,0.003527157,4.89E-05,0.011444139,26.94923642,0.970847053,0.292761295,0.165099179,0.114395139
HaveUMMsJ,jazz,0.650306748,0.089686261,0.227240656,0.003804714,0.125813549,-25.67253669,2.371560832,-0.012077191,0.534849589,0.095604481,0.002400639,0.005937389,1.03E-05,0.019913546,2.798805766,0.400870968,0.302479281,0.165575608,0.174279675
hayBurner,jazz,0.666523513,0.128440442,0.22280083,0.002232627,0.222482635,-25.64114474,1.381833467,0.024228163,0.263883985,-0.02469636,0.003648542,0.005005199,6.49E-05,0.020604989,20.49152809,0.700917822,0.306290941,0.165111207,0.112465948
Heat,jazz,0.537648235,0.098084597,0.200967096,0.003673572,0.145540626,-24.87874398,2.17534128,-0.052451351,0.140760288,-0.223453555,0.004518316,0.005453938,9.69E-06,0.020744419,6.681710125,0.304653942,0.279074473,0.182303728,0.198125687
